Name Math Java DS Average Total
张三7857 88 77 82 82 247
张三9019 91 89 60 80 240
张三2083 88 69 75 77 232
张三804 77 63 93 77 233
张三6522 88 65 89 80 242
张三2570 67 70 87 74 224
张三345 70 78 82 76 230
张三6513 61 98 98 85 257
张三2998 78 82 88 82 248
张三1448 83 96 92 90 271
张三1649 70 77 78 75 225
张三9042 80 65 95 80 240
张三9894 90 77 99 88 266
张三3984 74 80 98 84 252
张三3698 92 93 60 81 245
张三5323 60 61 75 65 196
张三3054 88 65 86 79 239
张三8686 67 80 83 76 230
张三331 80 63 82 75 225
张三1621 71 60 89 73 220
张三8784 90 61 64 71 215
张三6777 73 92 61 75 226
张三7208 78 74 85 79 237
张三155 89 61 86 78 236
张三9224 70 77 63 70 210
张三4155 98 99 63 86 260
张三8141 97 95 77 89 269
张三7640 94 71 72 79 237
张三908 88 62 77 75 227
张三7759 87 84 67 79 238
张三7106 84 87 68 79 239
张三734 69 84 71 74 224
张三1467 64 76 74 71 214
张三1357 60 97 69 75 226
张三905 96 84 67 82 247
张三3410 82 69 64 71 215
张三9511 62 81 69 70 212
张三5742 66 89 74 76 229
张三7509 80 96 81 85 257
张三1230 67 68 73 69 208
张三2659 75 79 91 81 245
张三8344 86 77 94 85 257
张三5043 69 99 96 88 264
张三7545 60 68 88 72 216
张三8758 94 80 63 79 237
张三7253 70 87 71 76 228
张三6455 60 86 99 81 245
张三6596 88 92 60 80 240
张三5235 93 86 94 91 273
张三4668 98 86 95 93 279
张三4839 63 93 81 79 237
张三8544 68 73 74 71 215
张三1643 63 67 73 67 203
张三4743 95 76 91 87 262
张三4421 84 73 86 81 243
张三1402 90 75 80 81 245
张三346 70 88 94 84 252
张三859 84 84 91 86 259
张三2218 66 77 67 70 210
张三4887 100 75 62 79 237
张三386 85 77 90 84 252
张三7305 72 72 61 68 205
张三5350 90 81 87 86 258
张三1182 88 69 95 84 252
张三9506 80 94 92 88 266
张三376 62 73 63 66 198
张三9025 99 68 76 81 243
张三7618 86 97 88 90 271
张三9334 60 70 79 69 209
张三3882 79 75 88 80 242
张三179 71 94 88 84 253
张三6262 61 63 82 68 206
张三8742 75 81 75 77 231
张三4075 98 65 74 79 237
张三1793 85 77 93 85 255
张三5431 100 89 74 87 263
张三357 88 99 77 88 264
张三8985 80 90 81 83 251
张三2861 69 94 85 82 248
张三8104 84 86 95 88 265
张三5247 64 76 78 72 218
张三7172 79 73 69 73 221
张三9029 85 79 65 76 229
张三2262 73 74 70 72 217
张三758 80 69 80 76 229
张三898 73 69 94 78 236
张三8895 96 72 89 85 257
张三8140 86 75 93 84 254
张三6530 92 89 80 87 261
张三8705 82 96 95 91 273
张三976 62 67 70 66 199
张三7378 62 67 77 68 206
张三3664 74 79 82 78 235
张三2404 91 81 61 77 233
张三6343 99 89 95 94 283
张三9113 83 82 64 76 229
张三2063 74 94 85 84 253
张三3495 89 86 81 85 256
张三1902 98 74 87 86 259
张三7958 70 78 65 71 213
张三930 66 88 64 72 218
张三3982 87 68 68 74 223
张三9367 67 100 63 76 230
张三8915 84 80 81 81 245
张三7435 83 63 79 75 225
张三6614 83 85 76 81 244
张三4866 96 92 65 84 253
张三4187 84 89 63 78 236
张三8541 64 71 94 76 229
张三9533 83 74 71 76 228
张三4242 61 82 73 72 216
张三6921 96 65 81 80 242
张三1000 74 88 91 84 253
张三342 76 82 97 85 255
张三8995 60 72 82 71 214
张三6844 83 78 74 78 235
张三4509 62 68 94 74 224
张三4585 67 65 66 66 198
张三7895 92 78 81 83 251
张三2832 95 88 98 93 281
张三3031 76 70 88 78 234
张三3635 98 93 96 95 287
张三9263 62 64 67 64 193
张三7385 94 98 64 85 256
张三9279 69 80 79 76 228
张三7009 84 94 71 83 249
张三8915 92 99 94 95 285
张三8010 86 96 64 82 246
张三7366 61 66 98 75 225
张三4083 86 79 73 79 238
张三8764 93 77 100 90 270
张三534 99 82 99 93 280
张三8621 69 97 67 77 233
张三232 76 64 75 71 215
张三1092 95 70 67 77 232
张三9315 99 100 69 89 268
张三5560 66 79 87 77 232
张三2377 97 82 66 81 245
张三3486 87 76 73 78 236
张三9374 75 99 71 81 245
张三9037 68 93 98 86 259
张三8951 69 74 78 73 221
张三9435 70 77 64 70 211
张三5444 66 82 93 80 241
张三3537 91 99 96 95 286
张三9271 90 88 80 86 258
张三9591 84 65 95 81 244
张三2928 75 98 100 91 273
张三5659 72 77 81 76 230
张三7340 78 76 60 71 214
